metric,count,mean,median,std,min,p10,p25,p75,p90,max,win_rate,tie_rate,loss_rate,mean_ci_low,mean_ci_high,slice_name,slice_value,num_scenes
delta_selected_drivable_area_compliance,3731,-0.001876172607879925,0.0,0.12360412765406317,-1.0,0.0,0.0,0.0,0.0,1.0,0.006700616456714018,0.984722594478692,0.008576789064593943,-0.005628517823639775,0.0021441972661484857,map_name,us-ma-boston,3731
delta_selected_ego_progress,3731,0.00537076773114275,0.0,0.16187030031869953,-1.0,-0.060676634159903764,-0.004222537436665452,0.02888523229071388,0.07288864027940156,1.0,0.3781827928169392,0.3511123023318145,0.2707049048512463,0.00021196656130805208,0.010590518661557682,map_name,us-ma-boston,3731
delta_selected_time_to_collision_within_bound,3731,-0.005628517823639775,0.0,0.20377259648754809,-1.0,0.0,0.0,0.0,0.0,1.0,0.017957652103993568,0.9584561779683731,0.023586169927633342,-0.012067810238541947,0.0008040739748056821,map_name,us-ma-boston,3731
delta_selected_comfort,3731,-0.0005360493165371214,0.0,0.023149635063724572,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9994639506834628,0.0005360493165371214,-0.0013401232913428035,0.0,map_name,us-ma-boston,3731
delta_selected_driving_direction_compliance,3731,0.0017421602787456446,0.0,0.11834275203534764,-1.0,0.0,0.0,0.0,0.0,1.0,0.01876172607879925,0.9656928437416242,0.015545430179576521,-0.0020135352452425623,0.005360493165371214,map_name,us-ma-boston,3731
delta_score,4064,0.001901719839197386,0.0,0.10009184150297845,-1.0,-0.012791213609422291,0.0,0.001557715590155495,0.01852242689209936,1.0,0.2718996062992126,0.5041830708661418,0.22391732283464566,-0.0011713998972995381,0.004928980401155357,map_name,us-nv-las-vegas-strip,4064
delta_oracle_score,4064,0.00019494310201037724,0.0,0.03938198148579573,-1.0,0.0,0.0,0.0,0.0,1.0,0.07209645669291338,0.8651574803149606,0.06274606299212598,-0.0010527669901032731,0.0014356455354702688,map_name,us-nv-las-vegas-strip,4064
delta_ranking_ability,4064,0.0017067767371870069,0.0,0.09499591473161623,-1.0,-0.013685324558781188,-0.0,0.001540165360853659,0.018982831278222024,1.0,0.2694389763779528,0.5034448818897638,0.22711614173228348,-0.0011138933510630243,0.004647238152764873,map_name,us-nv-las-vegas-strip,4064
delta_selected_no_at_fault_collisions,4064,0.0004921259842519685,0.0,0.057640486914434345,-1.0,0.0,0.0,0.0,0.0,1.0,0.0022145669291338582,0.9963090551181102,0.0014763779527559055,-0.0012303149606299212,0.0023375984251968506,map_name,us-nv-las-vegas-strip,4064
delta_selected_drivable_area_compliance,4064,0.000984251968503937,0.0,0.06655264819722795,-1.0,0.0,0.0,0.0,0.0,1.0,0.0027066929133858267,0.9955708661417323,0.0017224409448818897,-0.000984251968503937,0.0031988188976377952,map_name,us-nv-las-vegas-strip,4064
delta_selected_ego_progress,4064,0.004662552810924115,0.0,0.09385748956782806,-1.0,-0.028281508221242955,0.0,0.003157222971237522,0.041972594231404835,1.0,0.2679625984251969,0.5145177165354331,0.21751968503937008,0.0018205148032921312,0.007367387588480509,map_name,us-nv-las-vegas-strip,4064
delta_selected_time_to_collision_within_bound,4064,-0.0004921259842519685,0.0,0.14378503500167722,-1.0,0.0,0.0,0.0,0.0,1.0,0.010088582677165354,0.9793307086614174,0.010580708661417323,-0.00468134842519685,0.003937007874015748,map_name,us-nv-las-vegas-strip,4064
delta_selected_comfort,4064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,map_name,us-nv-las-vegas-strip,4064
delta_selected_driving_direction_compliance,4064,-0.00036909448818897637,0.0,0.04224049600092386,-1.0,0.0,0.0,0.0,0.0,1.0,0.001968503937007874,0.9950787401574803,0.002952755905511811,-0.0017224409448818897,0.000984251968503937,map_name,us-nv-las-vegas-strip,4064
delta_score,2437,0.0051974054212639365,0.0,0.18671037605263496,-1.0,-0.03530748280907731,-0.008946482392701571,0.010558482987866435,0.034873367132519144,1.0,0.35658596635207224,0.3192449733278621,0.32416906032006565,-0.002300667170175026,0.012293076057680182,map_name,us-pa-pittsburgh-hazelwood,2437
delta_oracle_score,2437,-0.0003427315536773753,0.0,0.06404701726718738,-1.0,0.0,0.0,0.0,0.0,1.0,0.059089043906442346,0.8863356585966352,0.05457529749692244,-0.002946603430469175,0.00211925246037226,map_name,us-pa-pittsburgh-hazelwood,2437
delta_ranking_ability,2437,0.005540136974941314,0.0,0.18067576326090082,-1.0,-0.03680536547061844,-0.0101260257699213,0.010477901654097801,0.03665754444243425,1.0,0.35207221994255233,0.31760361099712764,0.3303241690603201,-0.0016202755982708877,0.013220087326648419,map_name,us-pa-pittsburgh-hazelwood,2437
delta_selected_no_at_fault_collisions,2437,0.0036930652441526466,0.0,0.12728496534401984,-1.0,0.0,0.0,0.0,0.0,1.0,0.010258514567090685,0.9831760361099713,0.006565449322938038,-0.001436192039392696,0.00882232252769799,map_name,us-pa-pittsburgh-hazelwood,2437
delta_selected_drivable_area_compliance,2437,0.0012310217480508822,0.0,0.15296240957074905,-1.0,0.0,0.0,0.0,0.0,1.0,0.012310217480508822,0.9766105867870333,0.01107919573245794,-0.004524004924086992,0.006975789905621666,map_name,us-pa-pittsburgh-hazelwood,2437
delta_selected_ego_progress,2437,0.004117935866283983,0.0,0.19094792692767984,-1.0,-0.07955956242357874,-0.020222315066558028,0.02252055851261925,0.07520579822427269,1.0,0.3491998358637669,0.32991382847763645,0.32088633565859664,-0.003345631998322958,0.011781661037692195,map_name,us-pa-pittsburgh-hazelwood,2437
delta_selected_time_to_collision_within_bound,2437,0.005744768157570784,0.0,0.17884822762483835,-1.0,0.0,0.0,0.0,0.0,1.0,0.01887566680344686,0.9679934345506771,0.013130898645876077,-0.0012310217480508822,0.01272055806319245,map_name,us-pa-pittsburgh-hazelwood,2437
delta_selected_comfort,2437,-0.0012310217480508822,0.0,0.03507151346834819,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9987689782519491,0.0012310217480508822,-0.002872384078785392,0.0,map_name,us-pa-pittsburgh-hazelwood,2437
